Date,Location,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Testing_Rate,Total_Vaccinations,Total_Distributed,People_Vaccinated,People_Fully_Vaccinated_Per_Hundred,Total_Vaccinations_Per_Hundred,People_Fully_Vaccinated,People_Vaccinated_Per_Hundred,Distributed_Per_Hundred,Daily_Vaccinations_Raw,Daily_Vaccinations,Daily_Vaccinations_Per_Million,Share_Doses_Used
2021-01-01,California,2365024,26363,NA,2309915,5912.603297465698,1.1251600354592777,83666.03670970372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-02,California,2415246,26551,NA,2362015,6045.109129901398,1.1112148464533191,84509.14543583133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-03,California,2452262,26638,NA,2400292,6142.225913231964,1.0976006724545002,85575.50912789695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-04,California,2490518,27017,NA,2431220,6221.112894609852,1.0935275212562547,86370.77443099063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-05,California,2529480,27519,NA,2468414,6316.5618396109985,1.0978382203160972,86886.49079551914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-06,California,2567843,28079,NA,2502931,6405.250851110048,1.1034206989964268,87437.80627073298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-07,California,2609088,28566,NA,2547789,6520.400029125165,1.1087757704198373,87973.6758926472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-08,California,2651984,29110,NA,2590723,6630.426741618663,1.1109885416185559,88649.35288505533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-09,California,2704483,29707,NA,2645555,6770.720037695677,1.110433295879058,89475.47193181209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-10,California,2744008,30004,NA,2687858,6878.534776441204,1.10395597716146,90672.7621981684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-11,California,2784716,30480,NA,2727541,6980.171680039364,1.1051402436747217,91542.62973257668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-12,California,2832085,31157,NA,2773506,7098.216164653657,1.110899954825232,92397.69678360036,816301,3286050,703540,0.25,2.07,100089,1.78,8.32,NA,NA,NA,0.248
2021-01-13,California,2870104,31684,NA,2811378,7195.398750406931,1.114432256489658,93243.68056942784,891489,3435650,744545,0.34,2.26,133689,1.88,8.7,75188,75188,1903,0.259
