PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Michigan,2015,40,X,0.679905,X,X,X,X,X,X,164,66,24121
States,Michigan,2015,41,X,0.682377,X,X,X,X,X,X,172,70,25206
States,Michigan,2015,42,X,0.655234,X,X,X,X,X,X,162,70,24724
States,Michigan,2015,43,X,0.722036,X,X,X,X,X,X,187,71,25899
States,Michigan,2015,44,X,0.835379,X,X,X,X,X,X,211,70,25258
States,Michigan,2015,45,X,0.816032,X,X,X,X,X,X,215,70,26347
States,Michigan,2015,46,X,0.781501,X,X,X,X,X,X,170,65,21753
States,Michigan,2015,47,X,0.754856,X,X,X,X,X,X,143,68,18944
States,Michigan,2015,48,X,0.653595,X,X,X,X,X,X,158,68,24174
States,Michigan,2015,49,X,0.731161,X,X,X,X,X,X,186,70,25439
States,Michigan,2015,50,X,0.905253,X,X,X,X,X,X,193,70,21320
States,Michigan,2015,51,X,0.905545,X,X,X,X,X,X,130,68,14356
States,Michigan,2015,52,X,0.94131,X,X,X,X,X,X,149,68,15829
States,Michigan,2016,1,X,0.953501,X,X,X,X,X,X,219,70,22968
States,Michigan,2016,2,X,0.687134,X,X,X,X,X,X,156,71,22703
States,Michigan,2016,3,X,0.898847,X,X,X,X,X,X,209,68,23252
States,Michigan,2016,4,X,0.842919,X,X,X,X,X,X,192,68,22778
States,Michigan,2016,5,X,1.01783,X,X,X,X,X,X,246,69,24169
States,Michigan,2016,6,X,1.37645,X,X,X,X,X,X,309,71,22449
States,Michigan,2016,7,X,1.7294,X,X,X,X,X,X,391,71,22609
States,Michigan,2016,8,X,2.39001,X,X,X,X,X,X,597,74,24979
States,Michigan,2016,9,X,2.6582,X,X,X,X,X,X,670,76,25205
States,Michigan,2016,10,X,2.73456,X,X,X,X,X,X,703,73,25708
States,Michigan,2016,11,X,2.33998,X,X,X,X,X,X,597,73,25513
States,Michigan,2016,12,X,2.18061,X,X,X,X,X,X,566,74,25956
States,Michigan,2016,13,X,1.991,X,X,X,X,X,X,482,75,24209
States,Michigan,2016,14,X,1.24723,X,X,X,X,X,X,298,72,23893
States,Michigan,2016,15,X,1.46172,X,X,X,X,X,X,366,69,25039
States,Michigan,2016,16,X,1.12651,X,X,X,X,X,X,256,69,22725
States,Michigan,2016,17,X,1.07665,X,X,X,X,X,X,251,73,23313
States,Michigan,2016,18,X,0.865389,X,X,X,X,X,X,209,74,24151
