"","Cases_RA","day","doses"
"215",886,1,0
"216",885,2,0
"217",898,3,0
"218",910,4,0
"219",955,5,0
"220",1013,6,0
"221",1079,7,0
"222",1150,8,0
"223",1217,9,0
"224",1271,10,0
"225",1319,11,0
"226",1385,12,0
"227",1441,13,0
"228",1500,14,0
"229",1529,15,0
"230",1557,16,0
"231",1595,17,0
"232",1636,18,0
"233",1726,19,0
"234",1822,20,0
"235",1912,21,0
"236",2044,22,0
"237",2180,23,0
"238",2287,24,0
"239",2376,25,0
"240",2589,26,0
"241",2770,27,0
"242",2954,28,0
"243",3100,29,0
"244",3276,30,0
"245",3369,31,0
"246",3532,32,0
"247",3871,33,0
"248",4187,34,0
"249",4560,35,0
"250",4950,36,0
"251",5293,37,0
"252",5564,38,0
"253",5752,39,0
"254",6123,40,0
"255",6601,41,0
"256",6778,42,0
"257",6956,43,0
"258",7082,44,0
"259",7115,45,0
"260",7047,46,0
"261",7084,47,0
"262",6883,48,0
"263",6837,49,0
"264",6735,50,0
"265",6682,51,0
"266",6619,52,0
"267",6587,53,0
"268",6530,54,0
"269",6449,55,0
"270",6343,56,0
"271",5721,57,0
"272",5557,58,0
"273",5528,59,0
"274",5530,60,0
"275",5464,61,0
"276",5534,62,0
"277",5578,63,0
"278",6044,64,0
"279",5993,65,0
"280",5894,66,0
"281",5784,67,0
"282",5446,68,0
"283",5067,69,0
"284",4786,70,0
"285",4529,71,0
"286",4326,72,0
"287",4161,73,0
"288",4047,74,0
"289",3804,75,37
"290",3627,76,347
"291",3441,77,856
"292",3292,78,2614
"293",3249,79,12366
"294",3168,80,3888
"295",3094,81,1903
"296",2993,82,13867
"297",2824,83,14831
"298",2704,84,15272
"299",2552,85,2683
"300",2233,86,124
"301",2300,87,4054
"302",2366,88,2225
"303",2473,89,18458
"304",2558,90,19759
"305",2588,91,20148
"306",2670,92,7555
"307",2757,93,1063
"308",2748,94,6306
"309",2755,95,3908
"310",2721,96,17203
"311",2753,97,17221
"312",2738,98,22002
"313",2777,99,21359
"314",2857,100,24181
"315",2772,101,7569
"316",2683,102,2337
"317",2471,103,21349
"318",2267,104,26278
"319",2140,105,28422
"320",2030,106,37847
"321",1974,107,36619
"322",1915,108,15113
"323",1868,109,4291
"324",1798,110,20959
"325",1776,111,27421
"326",1751,112,33416
"327",1703,113,39541
"328",1650,114,39959
"329",1627,115,25474
"330",1592,116,6882
"331",1551,117,22227
"332",1471,118,30041
"333",1419,119,35541
"334",1369,120,42341
"335",1287,121,36902
"336",1250,122,16229
"337",1217,123,5004
"338",1158,124,14725
