,day,new_case,new_death
7769,2020-01-22,0.0,0.0
9412,2020-01-23,0.0,0.0
6308,2020-01-24,0.0,0.0
5887,2020-01-25,0.0,0.0
18251,2020-01-26,2.0,0.0
18880,2020-01-27,0.0,0.0
8587,2020-01-28,0.0,0.0
20875,2020-01-29,0.0,0.0
20864,2020-01-30,0.0,0.0
15136,2020-01-31,1.0,0.0
14502,2020-02-01,0.0,0.0
7688,2020-02-02,0.0,0.0
13161,2020-02-03,3.0,0.0
12267,2020-02-04,0.0,0.0
16020,2020-02-05,0.0,0.0
9868,2020-02-06,0.0,0.0
10044,2020-02-07,0.0,0.0
17465,2020-02-08,0.0,0.0
19316,2020-02-09,0.0,0.0
16608,2020-02-10,0.0,0.0
16960,2020-02-11,1.0,0.0
8675,2020-02-12,0.0,0.0
11385,2020-02-13,1.0,0.0
15767,2020-02-14,0.0,0.0
15811,2020-02-15,0.0,0.0
15022,2020-02-16,0.0,0.0
6724,2020-02-17,0.0,0.0
5696,2020-02-18,0.0,0.0
18054,2020-02-19,0.0,0.0
14393,2020-02-20,0.0,0.0
5966,2020-02-21,2.0,0.0
7958,2020-02-22,0.0,0.0
19943,2020-02-23,0.0,0.0
13267,2020-02-24,0.0,0.0
20383,2020-02-25,0.0,0.0
9767,2020-02-26,0.0,0.0
15278,2020-02-27,1.0,0.0
17517,2020-02-28,0.0,0.0
5657,2020-02-29,1.0,0.0
8651,2020-03-01,0.0,0.0
15634,2020-03-02,9.0,0.0
8089,2020-03-03,8.0,0.0
14840,2020-03-04,7.0,0.0
14056,2020-03-05,9.0,1.0
13051,2020-03-06,11.0,0.0
16720,2020-03-07,0.0,0.0
10928,2020-03-08,54.0,0.0
13307,2020-03-09,25.0,1.0
16864,2020-03-10,17.0,0.0
6973,2020-03-11,23.0,1.0
13848,2020-03-12,49.0,1.0
7739,2020-03-13,40.0,0.0
12322,2020-03-14,47.0,0.0
11337,2020-03-15,58.0,1.0
16342,2020-03-16,78.0,2.0
18769,2020-03-17,149.0,3.0
6636,2020-03-18,56.0,4.0
13072,2020-03-19,330.0,4.0
16909,2020-03-20,322.0,6.0
19009,2020-03-21,230.0,3.0
12940,2020-03-22,175.0,5.0
17895,2020-03-23,222.0,3.0
15112,2020-03-24,580.0,9.0
18917,2020-03-25,471.0,13.0
9489,2020-03-26,795.0,7.0
15929,2020-03-27,953.0,43.0
9023,2020-03-28,529.0,12.0
5680,2020-03-29,480.0,18.0
11196,2020-03-30,1170.0,14.0
15409,2020-03-31,1222.0,21.0
6005,2020-04-01,24.0,0.0
16703,2020-04-02,1036.0,31.0
11445,2020-04-03,2833.0,67.0
20769,2020-04-04,2.0,6.0
16986,2020-04-05,1412.0,43.0
8096,2020-04-06,898.0,24.0
6574,2020-04-07,1529.0,31.0
7516,2020-04-08,1092.0,68.0
18049,2020-04-09,1352.0,50.0
6515,2020-04-10,1163.0,49.0
5736,2020-04-11,1143.0,68.0
19152,2020-04-12,1179.0,42.0
5706,2020-04-13,554.0,36.0
19645,2020-04-14,990.0,71.0
13872,2020-04-15,1086.0,63.0
5877,2020-04-16,1758.0,69.0
10161,2020-04-17,1346.0,95.0
12474,2020-04-18,1435.0,87.0
6669,2020-04-19,0.0,0.0
10189,2020-04-20,2015.0,136.0
