,Beta,mu_IR,mu_ID,mu_EI,alpha,mu_AR,mu_PI,c_1,c_2,c_3,c_4,c_5,c_6,rho,N,tau,loglik,loglik.se
1,0.231360326,54.36000375,9.51E-07,5.106237997,0.834632098,0.315370034,0.644855438,1.917859273,1.598408566,1.437806446,1.802074681,2.017574347,2.407679021,0.203802679,39512223,1066.624324,-3794.488658,0.942523412
2,0.076077256,7.193957017,2.68E-05,1.715715969,0.759221392,0.057054365,0.428435517,2.600112587,1.244669677,0.693424589,1.641811701,3.124884758,2.484543723,0.098538215,39512223,878.3674413,-3794.747977,1.467480117
3,0.189878148,16.95161703,2.60E-07,0.149134702,0.725331216,0.046470284,1.466391632,1.723053248,0.520785606,0.09770052,0.790999755,1.965902372,0.389107749,0.090121511,39512223,1069.840855,-3803.218195,0.690648725
4,0.087003346,7.766454333,8.46E-07,0.796358883,0.745672387,0.049097566,1.478465764,2.565379647,1.041399489,0.392806643,1.472411368,2.903269825,0.360635973,0.092913351,39512223,983.2207776,-3805.713464,1.582678543
5,0.223435577,26.24579952,1.33E-06,1.369076839,0.573148838,0.076838586,0.127611495,0.997902927,0.505386476,0.314567106,0.697948656,1.07194287,1.552564776,0.104937973,39512223,1304.894604,-3805.737628,7.068579431
6,0.092520339,13.51671353,1.53E-05,1.280993473,0.689173927,0.04609246,1.211856948,2.364119119,1.046078728,0.38779572,1.319227518,2.713585629,0.212051361,0.093146202,39512223,917.5864066,-3805.909336,9.290257991
7,1.191939057,6.315685348,1.78E-07,10.30210819,0.812618308,0.975416929,1.444833955,0.829375729,0.825801337,0.810336152,0.874450718,0.915959557,0.966248977,0.464948997,39512223,1048.325506,-3806.301104,7.888691943
8,0.116470665,40.06974316,7.07E-07,2.63424608,0.73793259,0.055625189,1.169473774,1.931827905,0.86108913,0.411739351,1.099784518,2.151074799,1.057302193,0.097329487,39512223,898.017182,-3806.613486,1.093980042
9,0.065383584,6.543461064,9.64E-06,1.113523427,0.791435672,0.049325291,0.471313459,2.817796568,1.410554823,0.44056678,1.801122208,3.461205516,0.604645931,0.096345204,39512223,942.5301049,-3807.714792,1.083426375
10,0.081468396,15.41987209,5.31E-06,3.629364404,0.68928111,0.053534689,1.217376423,2.788624636,1.291614631,0.669559272,1.563159743,3.240463562,0.276829532,0.097695883,39512223,1007.679885,-3809.968365,0.759243475
