Date,Price,Open,High,Low,Vol,Change%
18-Apr-21,"3,472.94","3,427.55","3,494.16","3,414.36",30.27B,1.35%
11-Apr-21,"3,426.62","3,445.97","3,456.16","3,373.09",130.60B,-0.70%
4-Apr-21,"3,450.68","3,491.63","3,495.91","3,442.14",114.24B,-0.97%
28-Mar-21,"3,484.39","3,429.63","3,487.59","3,409.89",139.12B,1.93%
21-Mar-21,"3,418.33","3,406.12","3,445.42","3,344.97",150.16B,0.40%
14-Mar-21,"3,404.66","3,441.88","3,478.14","3,389.29",155.81B,-1.40%
7-Mar-21,"3,453.08","3,524.98","3,542.30","3,328.31",177.46B,-1.40%
28-Feb-21,"3,501.99","3,531.48","3,577.62","3,456.67",175.30B,-0.20%
21-Feb-21,"3,509.08","3,707.19","3,717.27","3,500.70",194.94B,-5.06%
14-Feb-21,"3,696.17","3,721.09","3,731.69","3,634.01",70.14B,1.12%
7-Feb-21,"3,655.09","3,504.56","3,662.77","3,492.13",76.16B,4.54%
31-Jan-21,"3,496.33","3,477.17","3,544.01","3,465.77",142.84B,0.38%
24-Jan-21,"3,483.07","3,605.36","3,637.10","3,446.55",143.41B,-3.43%
17-Jan-21,"3,606.75","3,554.80","3,636.24","3,544.26",154.93B,1.13%
10-Jan-21,"3,566.38","3,571.32","3,622.35","3,516.99",174.63B,-0.10%
3-Jan-21,"3,570.11","3,474.68","3,588.06","3,457.21",190.99B,2.79%
27-Dec-20,"3,473.07","3,396.36","3,474.92","3,374.42",125.46B,2.25%
20-Dec-20,"3,396.56","3,394.39","3,423.61","3,348.35",147.59B,0.05%
13-Dec-20,"3,394.90","3,349.53","3,413.81","3,338.63",124.27B,1.43%
6-Dec-20,"3,347.19","3,446.65","3,449.58","3,325.17",128.81B,-2.83%
29-Nov-20,"3,444.58","3,418.16","3,465.73","3,386.91",156.87B,1.06%
22-Nov-20,"3,408.31","3,384.10","3,431.65","3,344.28",153.35B,0.91%
15-Nov-20,"3,377.73","3,325.62","3,380.15","3,313.65",136.53B,2.04%
8-Nov-20,"3,310.10","3,329.43","3,387.62","3,291.64",130.45B,-0.06%
1-Nov-20,"3,312.16","3,228.72","3,326.46","3,209.91",109.23B,2.72%
25-Oct-20,"3,224.53","3,258.70","3,289.77","3,219.42",90.49B,-1.63%
18-Oct-20,"3,278.00","3,351.10","3,371.09","3,276.62",89.52B,-1.75%
11-Oct-20,"3,336.36","3,287.33","3,361.83","3,286.11",104.85B,1.96%
4-Oct-20,"3,272.08","3,262.61","3,280.51","3,260.19",18.83B,1.68%
27-Sep-20,"3,218.05","3,224.98","3,244.91","3,202.34",46.08B,-0.04%
20-Sep-20,"3,219.42","3,348.90","3,350.59","3,208.03",97.12B,-3.56%
13-Sep-20,"3,338.09","3,275.92","3,338.32","3,248.50",107.12B,2.38%
6-Sep-20,"3,260.35","3,349.92","3,368.24","3,220.54",141.74B,-2.83%
30-Aug-20,"3,355.37","3,416.55","3,442.74","3,328.55",130.90B,-1.42%
23-Aug-20,"3,403.81","3,391.11","3,408.87","3,312.99",134.62B,0.68%
16-Aug-20,"3,380.68","3,373.90","3,456.72","3,352.78",184.41B,0.61%
9-Aug-20,"3,360.10","3,341.53","3,409.06","3,263.27",179.05B,0.18%
2-Aug-20,"3,354.04","3,332.18","3,392.70","3,307.71",205.48B,1.33%
26-Jul-20,"3,310.01","3,210.39","3,333.79","3,174.66",160.81B,3.54%
19-Jul-20,"3,196.77","3,243.91","3,381.98","3,184.96",200.52B,-0.54%
12-Jul-20,"3,214.13","3,379.39","3,458.79","3,181.27",244.35B,-5.00%
5-Jul-20,"3,383.32","3,187.84","3,456.97","3,187.84",306.49B,7.31%
28-Jun-20,"3,152.81","2,973.08","3,152.81","2,951.77",155.88B,5.82%
21-Jun-20,"2,979.55","2,966.90","2,983.44","2,949.85",70.63B,0.40%
14-Jun-20,"2,967.63","2,908.28","2,973.32","2,890.03",122.42B,1.64%
7-Jun-20,"2,919.74","2,941.98","2,957.12","2,872.62",111.78B,-0.38%
31-May-20,"2,930.80","2,871.96","2,942.76","2,871.96",121.59B,2.75%
24-May-20,"2,852.35","2,816.24","2,861.92","2,802.47",95.99B,1.37%
17-May-20,"2,813.77","2,872.52","2,900.22","2,808.02",104.64B,-1.91%
10-May-20,"2,868.46","2,901.57","2,914.28","2,863.37",99.40B,-0.93%
3-May-20,"2,895.34","2,831.63","2,903.80","2,830.65",70.34B,1.23%
26-Apr-20,"2,860.08","2,812.24","2,865.59","2,758.25",90.85B,1.84%
19-Apr-20,"2,808.53","2,840.41","2,853.64","2,802.50",114.64B,-1.06%
12-Apr-20,"2,838.49","2,784.60","2,854.96","2,774.08",103.42B,1.50%
5-Apr-20,"2,796.63","2,806.97","2,833.01","2,789.98",98.53B,1.18%
29-Mar-20,"2,763.99","2,739.72","2,780.64","2,719.90",109.43B,-0.30%
22-Mar-20,"2,772.20","2,677.59","2,805.55","2,656.50",125.48B,0.97%
15-Mar-20,"2,745.62","2,897.30","2,898.03","2,646.80",150.35B,-4.91%
8-Mar-20,"2,887.43","2,987.18","3,010.03","2,799.98",183.46B,-4.85%
1-Mar-20,"3,034.51","2,899.31","3,074.26","2,899.31",193.83B,5.35%
