"Date","Time (LST/LDT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1980/02/01","00:00","580.203","NaN","NaN","579.843","NaN","NaN","NaN","579.383","0"
"1980/03/01","00:00","580.292","NaN","NaN","579.693","NaN","NaN","NaN","579.042","0"
"1980/04/01","00:00","580.581","NaN","NaN","579.946","NaN","NaN","NaN","579.232","0"
"1980/05/01","00:00","580.623","NaN","NaN","580.166","NaN","NaN","NaN","579.701","0"
"1980/06/01","00:00","581.142","NaN","NaN","580.378","NaN","NaN","NaN","579.843","0"
"1980/07/01","00:00","581.01","NaN","NaN","580.469","NaN","NaN","NaN","579.882","0"
"1980/08/01","00:00","580.863","NaN","NaN","580.464","NaN","NaN","NaN","580.072","0"
"1980/09/01","00:00","581.073","NaN","NaN","580.391","NaN","NaN","NaN","579.672","0"
"1980/10/01","00:00","580.623","NaN","NaN","580.165","NaN","NaN","NaN","579.222","0"
"1980/11/01","00:00","580.472","NaN","NaN","579.788","NaN","NaN","NaN","579.012","0"
"1980/12/01","00:00","580.712","NaN","NaN","579.619","NaN","NaN","NaN","578.944","0"
"1981/01/01","00:00","579.902","NaN","NaN","579.38","NaN","NaN","NaN","578.871","0"
"1981/02/01","00:00","579.642","NaN","NaN","579.209","NaN","NaN","NaN","578.743","0"
"1981/03/01","00:00","580.092","NaN","NaN","579.439","NaN","NaN","NaN","578.963","0"
"1981/04/01","00:00","580.213","NaN","NaN","579.577","NaN","NaN","NaN","578.812","0"
"1981/05/01","00:00","580.171","NaN","NaN","579.867","NaN","NaN","NaN","579.442","0"
"1981/06/01","00:00","580.404","NaN","NaN","580.004","NaN","NaN","NaN","579.603","0"
"1981/07/01","00:00","580.472","NaN","NaN","580.145","NaN","NaN","NaN","579.902","0"
"1981/08/01","00:00","580.463","NaN","NaN","580.057","NaN","NaN","NaN","579.633","0"
"1981/09/01","00:00","580.741","NaN","NaN","580.115","NaN","NaN","NaN","579.491","0"
"1981/10/01","00:00","580.561","NaN","NaN","579.832","NaN","NaN","NaN","579.163","0"
"1981/11/01","00:00","580.351","NaN","NaN","579.63","NaN","NaN","NaN","578.734","0"
"1981/12/01","00:00","579.941","NaN","NaN","579.355","NaN","NaN","NaN","578.442","0"
"1982/01/01","00:00","580.131","NaN","NaN","579.132","NaN","NaN","NaN","577.871","0"
"1982/02/01","00:00","579.462","NaN","NaN","578.925","NaN","NaN","NaN","578.461","0"
"1982/03/01","00:00","579.501","NaN","NaN","578.866","NaN","NaN","NaN","578.192","0"
"1982/04/01","00:00","579.793","NaN","NaN","579.267","NaN","NaN","NaN","578.051","0"
"1982/05/01","00:00","579.672","NaN","NaN","579.383","NaN","NaN","NaN","578.993","0"
"1982/06/01","00:00","579.993","NaN","NaN","579.578","NaN","NaN","NaN","579.213","0"
"1982/07/01","00:00","580.184","NaN","NaN","579.672","NaN","NaN","NaN","579.222","0"
"1982/08/01","00:00","580.121","NaN","NaN","579.723","NaN","NaN","NaN","579.321","0"
"1982/09/01","00:00","580.062","NaN","NaN","579.544","NaN","NaN","NaN","579.111","0"
"1982/10/01","00:00","579.921","NaN","NaN","579.38","NaN","NaN","NaN","578.553","0"
"1982/11/01","00:00","579.921","NaN","NaN","579.375","NaN","NaN","NaN","578.783","0"
"1982/12/01","00:00","580.131","NaN","NaN","579.551","NaN","NaN","NaN","578.842","0"
"1983/01/01","00:00","580.184","NaN","NaN","579.616","NaN","NaN","NaN","579.062","0"
"1983/02/01","00:00","579.843","NaN","NaN","579.533","NaN","NaN","NaN","579.101","0"
"1983/03/01","00:00","580.433","NaN","NaN","579.644","NaN","NaN","NaN","579.052","0"
"1983/04/01","00:00","580.331","NaN","NaN","579.89","NaN","NaN","NaN","579.163","0"
"1983/05/01","00:00","580.833","NaN","NaN","580.347","NaN","NaN","NaN","579.501","0"
"1983/06/01","00:00","581.063","NaN","NaN","580.707","NaN","NaN","NaN","580.312","0"
"1983/07/01","00:00","581.152","NaN","NaN","580.779","NaN","NaN","NaN","580.394","0"
"1983/08/01","00:00","581.181","NaN","NaN","580.664","NaN","NaN","NaN","580.262","0"
"1983/09/01","00:00","580.961","NaN","NaN","580.495","NaN","NaN","NaN","579.921","0"
"1983/10/01","00:00","580.981","NaN","NaN","580.261","NaN","NaN","NaN","579.813","0"
"1983/11/01","00:00","580.702","NaN","NaN","579.947","NaN","NaN","NaN","578.911","0"
"1983/12/01","00:00","580.394","NaN","NaN","579.863","NaN","NaN","NaN","579.052","0"
"1984/01/01","00:00","580.092","NaN","NaN","579.721","NaN","NaN","NaN","579.272","0"
"1984/02/01","00:00","580.423","NaN","NaN","579.724","NaN","NaN","NaN","579.131","0"
"1984/03/01","00:00","580.371","NaN","NaN","579.809","NaN","NaN","NaN","579.281","0"
"1984/04/01","00:00","580.531","NaN","NaN","580.051","NaN","NaN","NaN","579.252","0"
"1984/05/01","00:00","580.843","NaN","NaN","580.423","NaN","NaN","NaN","580.003","0"
"1984/06/01","00:00","581.181","NaN","NaN","580.699","NaN","NaN","NaN","580.161","0"
"1984/07/01","00:00","581.263","NaN","NaN","580.937","NaN","NaN","NaN","580.614","0"
"1984/08/01","00:00","581.473","NaN","NaN","580.871","NaN","NaN","NaN","580.322","0"
"1984/09/01","00:00","581.463","NaN","NaN","580.735","NaN","NaN","NaN","579.843","0"
"1984/10/01","00:00","581.201","NaN","NaN","580.548","NaN","NaN","NaN","579.882","0"
"1984/11/01","00:00","581.152","NaN","NaN","580.483","NaN","NaN","NaN","579.823","0"
"1984/12/01","00:00","580.922","NaN","NaN","580.325","NaN","NaN","NaN","579.242","0"
"1985/01/01","00:00","580.991","NaN","NaN","580.392","NaN","NaN","NaN","579.852","0"
"1985/02/01","00:00","580.751","NaN","NaN","580.274","NaN","NaN","NaN","579.793","0"
"1985/03/01","00:00","581.253","NaN","NaN","580.598","NaN","NaN","NaN","579.331","0"
"1985/04/01","00:00","581.654","NaN","NaN","581.112","NaN","NaN","NaN","579.872","0"
"1985/05/01","00:00","581.883","NaN","NaN","581.465","NaN","NaN","NaN","580.902","0"
"1985/06/01","00:00","581.913","NaN","NaN","581.541","NaN","NaN","NaN","580.801","0"
"1985/07/01","00:00","581.781","NaN","NaN","581.454","NaN","NaN","NaN","581.073","0"
"1985/08/01","00:00","581.581","NaN","NaN","581.303","NaN","NaN","NaN","580.863","0"
"1985/09/01","00:00","581.713","NaN","NaN","581.312","NaN","NaN","NaN","580.823","0"
"1985/10/01","00:00","581.673","NaN","NaN","581.187","NaN","NaN","NaN","580.351","0"
"1985/11/01","00:00","581.952","NaN","NaN","581.275","NaN","NaN","NaN","580.381","0"
"1985/12/01","00:00","581.972","NaN","NaN","581.421","NaN","NaN","NaN","580.433","0"
"1986/01/01","00:00","582.011","NaN","NaN","581.193","NaN","NaN","NaN","580.161","0"
"1986/02/01","00:00","581.673","NaN","NaN","581.062","NaN","NaN","NaN","580.722","0"
