City,Date,PM2.5
Delhi,1/1/15,313.22
Delhi,1/2/15,186.18
Delhi,1/3/15,87.18
Delhi,1/4/15,151.84
Delhi,1/5/15,146.6
Delhi,1/6/15,149.58
Delhi,1/7/15,217.87
Delhi,1/8/15,229.9
Delhi,1/9/15,201.66
Delhi,1/10/15,221.02
Delhi,1/11/15,205.41
Delhi,1/12/15,212.41
Delhi,1/13/15,197.61
Delhi,1/14/15,164.39
Delhi,1/15/15,166.19
Delhi,1/16/15,174.98
Delhi,1/17/15,196.46
Delhi,1/18/15,201.51
Delhi,1/19/15,183.35
Delhi,1/20/15,165.63
Delhi,1/21/15,159.54
Delhi,1/22/15,143.68
Delhi,1/23/15,128.73
Delhi,1/24/15,164.98
Delhi,1/25/15,148.59
Delhi,1/26/15,129.34
Delhi,1/27/15,154.2
Delhi,1/28/15,134.6
Delhi,1/29/15,173.13
Delhi,1/30/15,178.04
Delhi,1/31/15,158.59
Delhi,2/1/15,211.59
Delhi,2/2/15,163.64
Delhi,2/3/15,157.71
Delhi,2/4/15,137.26
Delhi,2/5/15,131.76
Delhi,2/6/15,151.6
Delhi,2/7/15,160.75
Delhi,2/8/15,145.34
Delhi,2/9/15,134.67
Delhi,2/10/15,153.07
Delhi,2/11/15,116.91
Delhi,2/12/15,177.98
Delhi,2/13/15,167.01
Delhi,2/14/15,193.96
Delhi,2/15/15,184.06
Delhi,2/16/15,152.62
Delhi,2/17/15,161.27
Delhi,2/18/15,188.2
Delhi,2/19/15,159.97
Delhi,2/20/15,144.12
Delhi,2/21/15,155.38
Delhi,2/22/15,124.1
Delhi,2/23/15,141.39
Delhi,2/24/15,170.16
Delhi,2/25/15,148.19
Delhi,2/26/15,140.78
Delhi,2/27/15,130.42
Delhi,2/28/15,105.86
Delhi,3/1/15,71.83
Delhi,3/2/15,53.71
Delhi,3/3/15,83.49
Delhi,3/4/15,91.07
Delhi,3/5/15,106.57
Delhi,3/6/15,101.75
Delhi,3/7/15,77.57
Delhi,3/8/15,63.24
Delhi,3/9/15,76.62
Delhi,3/10/15,86.7
Delhi,3/11/15,104.29
